,Adultsmoking,Adult obesity Value,Physical inactivity Value,Excessivedrinking,Alcohol-impaired driving deaths Value,Drug poisoning deaths Value,Mental,Poor physical health days Value,target,target2,badval,FN,FP
808,0.259,0.342,0.302,0.192,0.462,25.13,3,2.9,0,Below Median Income,1,0,1
509,0.334,0.34,0.371,0.081,0.343,35.55,5.2,5.6,0,Below Median Income,0,0,0
552,0.309,0.316,0.371,0.078,0.263,33.51,4,4.2,0,Below Median Income,0,0,0
798,0.202,0.347,0.321,0.11,0.2,24.84,5.1,4.8,0,Below Median Income,0,0,0
95,0.175,0.339,0.28,0.096,0.353,9.22,3.1,3.7,0,Below Median Income,1,0,1
36,0.267,0.356,0.308,0.161,0.179,7.23,5.2,5.8,0,Below Median Income,0,0,0
1628,0.234,0.336,0.252,0.203,0.4,9.67,2.8,2.9,1,Above Median Income,0,0,0
102,0.143,0.21,0.144,0.209,0.443,20.05,3.1,2.7,1,Above Median Income,0,0,0
1173,0.284,0.354,0.361,0.08,0.259,20.59,4,4.4,0,Below Median Income,0,0,0
481,0.255,0.326,0.259,0.147,0.423,12.44,2.9,3.8,0,Below Median Income,1,0,1
495,0.189,0.294,0.245,0.147,0.346,13.1,3.2,3.2,1,Above Median Income,0,0,0
1167,0.27,0.342,0.407,0.11,0.3,14.32,4.5,4.7,0,Below Median Income,0,0,0
89,0.23,0.315,0.273,0.105,0.282,13.23,4.2,4,1,Above Median Income,1,1,0
69,0.18,0.3,0.289,0.148,0.247,12.11,3.5,4,1,Above Median Income,1,1,0
1092,0.208,0.328,0.298,0.138,0.371,8.11,4.5,5.1,0,Below Median Income,0,0,0
1308,0.188,0.347,0.277,0.146,0.373,13.7,4.1,3.3,0,Below Median Income,1,0,1
756,0.136,0.277,0.19,0.21,0.288,6.52,2.2,2.5,1,Above Median Income,0,0,0
1464,0.17,0.281,0.225,0.184,0.306,8,2.6,2.8,1,Above Median Income,0,0,0
995,0.267,0.294,0.259,0.225,0.429,7.03,4.3,5.1,0,Below Median Income,0,0,0
1536,0.297,0.342,0.365,0.09,0.351,54.81,5.5,6.6,0,Below Median Income,0,0,0
733,0.166,0.27,0.212,0.199,0.357,8.51,3.9,3.5,1,Above Median Income,0,0,0
602,0.238,0.324,0.318,0.21,0.511,10.66,3.6,3.9,0,Below Median Income,1,0,1
1391,0.197,0.327,0.265,0.188,0.204,8.43,4.1,5.1,1,Above Median Income,1,1,0
1532,0.138,0.251,0.162,0.174,0.324,10.88,3.4,3.4,1,Above Median Income,0,0,0
1476,0.229,0.332,0.274,0.09,0.391,10.19,4,3.8,0,Below Median Income,0,0,0
447,0.1,0.286,0.205,0.308,0.192,5.52,1.9,2.3,1,Above Median Income,0,0,0
1598,0.176,0.278,0.226,0.243,0.302,5.47,2.3,3,1,Above Median Income,0,0,0
556,0.285,0.342,0.35,0.141,0.105,13.85,5.4,6.1,0,Below Median Income,0,0,0
261,0.122,0.265,0.247,0.121,0.328,7.63,4.3,3.2,0,Below Median Income,1,0,1
62,0.168,0.272,0.246,0.14,0.295,12.14,3,3.2,1,Above Median Income,0,0,0
687,0.199,0.311,0.211,0.193,0.316,8.19,3,3,0,Below Median Income,1,0,1
815,0.226,0.323,0.271,0.157,0.365,11.48,3.4,3.4,1,Above Median Income,0,0,0
1123,0.208,0.303,0.248,0.152,0.381,26.41,3.8,3.9,0,Below Median Income,0,0,0
1163,0.204,0.305,0.308,0.127,0.386,14.18,5,4.6,0,Below Median Income,0,0,0
1586,0.157,0.289,0.204,0.236,0.313,6.89,1.9,2.9,1,Above Median Income,0,0,0
163,0.255,0.239,0.203,0.182,0.25,11.49,3,2.9,0,Below Median Income,1,0,1
1025,0.221,0.311,0.283,0.113,0.344,11.93,4,4.4,0,Below Median Income,0,0,0
283,0.243,0.285,0.259,0.103,0.203,17.42,4.3,3.9,1,Above Median Income,1,1,0
1235,0.197,0.317,0.266,0.112,0.425,13.66,4.6,4.1,0,Below Median Income,0,0,0
683,0.202,0.31,0.235,0.17,0.227,8.57,4.1,2.9,0,Below Median Income,1,0,1
1162,0.229,0.341,0.345,0.093,0.333,8.13,3.6,4,0,Below Median Income,0,0,0
374,0.223,0.27,0.274,0.135,0.194,11.54,3.4,2.9,1,Above Median Income,0,0,0
704,0.233,0.329,0.249,0.191,0.368,14.95,4.4,3.8,0,Below Median Income,0,0,0
594,0.198,0.346,0.329,0.176,0.426,14.93,3.1,3.6,1,Above Median Income,0,0,0
711,0.258,0.323,0.282,0.221,0.364,20.78,4.2,4.4,0,Below Median Income,0,0,0
624,0.156,0.278,0.211,0.187,0.38,14.4,3.2,3,1,Above Median Income,0,0,0
1304,0.189,0.434,0.326,0.107,0.35,10.85,3.1,4,0,Below Median Income,0,0,0
380,0.273,0.306,0.318,0.129,0.125,9.09,3.4,4,0,Below Median Income,0,0,0
1005,0.245,0.271,0.195,0.223,0.242,5.87,2.4,3,1,Above Median Income,0,0,0
442,0.136,0.304,0.226,0.241,0.25,6.48,2.7,2.7,1,Above Median Income,0,0,0
1572,0.346,0.348,0.399,0.056,0.45,79.78,7.7,7.6,0,Below Median Income,0,0,0
1195,0.183,0.284,0.18,0.153,0.29,20.49,3.3,3.8,0,Below Median Income,1,0,1
83,0.233,0.378,0.359,0.125,0.179,8.21,6.1,5.7,0,Below Median Income,0,0,0
758,0.154,0.248,0.177,0.207,0.255,6.43,2.2,2.9,1,Above Median Income,0,0,0
489,0.169,0.325,0.3,0.161,0.455,12.11,3,3.1,0,Below Median Income,1,0,1
38,0.277,0.334,0.358,0.083,0.174,40.98,6.5,6.5,0,Below Median Income,0,0,0
72,0.187,0.391,0.324,0.095,0.333,7.56,3.9,3.7,0,Below Median Income,0,0,0
497,0.207,0.361,0.286,0.145,0.343,16.59,3.3,3.1,1,Above Median Income,0,0,0
651,0.187,0.221,0.181,0.182,0.333,9.98,3.3,4,1,Above Median Income,0,0,0
907,0.148,0.27,0.242,0.148,0.221,11.12,3.5,3.3,1,Above Median Income,0,0,0
627,0.225,0.325,0.293,0.17,0.469,15.67,4,3.8,1,Above Median Income,1,1,0
626,0.198,0.295,0.224,0.182,0.318,13.91,3.5,3.5,1,Above Median Income,0,0,0
1149,0.209,0.326,0.302,0.148,0.352,10.63,3.8,3.9,1,Above Median Income,1,1,0
1402,0.145,0.256,0.211,0.119,0.295,8.05,2.9,3.5,1,Above Median Income,0,0,0
759,0.152,0.266,0.208,0.202,0.208,8.07,2.9,2.4,1,Above Median Income,0,0,0
967,0.162,0.287,0.228,0.188,0.292,9.09,3.3,3.9,1,Above Median Income,0,0,0
1148,0.265,0.348,0.373,0.098,0.368,19.13,3.8,3.4,0,Below Median Income,0,0,0
1384,0.157,0.282,0.213,0.165,0.411,9.93,3.3,3.6,1,Above Median Income,0,0,0
1122,0.177,0.312,0.262,0.168,0.216,14.22,3.6,4.1,1,Above Median Income,1,1,0
1172,0.28,0.35,0.362,0.092,0.244,21.99,5.8,4.2,0,Below Median Income,0,0,0
293,0.25,0.271,0.226,0.124,0.278,12.72,3.2,3.9,1,Above Median Income,0,0,0
1423,0.174,0.204,0.155,0.161,0.429,26.76,4.3,3.3,0,Below Median Income,1,0,1
1042,0.222,0.323,0.268,0.154,0.231,17.37,3.9,3.7,0,Below Median Income,0,0,0
1264,0.246,0.328,0.295,0.187,0.272,18.05,3.6,3.5,0,Below Median Income,1,0,1
1325,0.178,0.28,0.257,0.169,0.409,8.46,2.5,3,1,Above Median Income,0,0,0
1566,0.239,0.346,0.295,0.083,0.355,13.17,4.6,5.2,0,Below Median Income,0,0,0
1248,0.164,0.285,0.206,0.145,0.346,9.35,3.2,2.9,1,Above Median Income,0,0,0
113,0.204,0.241,0.179,0.18,0.241,22.74,3.4,3.2,1,Above Median Income,0,0,0
106,0.16,0.28,0.219,0.157,0.332,16.27,4.2,4.7,1,Above Median Income,1,1,0
580,0.208,0.328,0.296,0.144,0.319,21.64,3.8,3.9,1,Above Median Income,1,1,0
1625,0.183,0.292,0.211,0.224,0.25,7.28,3.1,2.2,1,Above Median Income,0,0,0
1305,0.246,0.277,0.23,0.167,0.349,13.9,3.9,3.8,0,Below Median Income,1,0,1
826,0.179,0.306,0.267,0.199,0.541,5.71,2.5,3.6,1,Above Median Income,0,0,0
661,0.205,0.324,0.207,0.269,0.5,16.2,5.4,5.3,1,Above Median Income,1,1,0
1517,0.159,0.258,0.216,0.154,0.321,11.3,3.2,3.6,1,Above Median Income,0,0,0
206,0.177,0.384,0.309,0.111,0.426,4.03,3.3,3.4,0,Below Median Income,1,0,1
982,0.23,0.301,0.237,0.179,0.277,11.45,4.2,4.2,1,Above Median Income,1,1,0
1550,0.353,0.375,0.4,0.098,0.359,78.91,5.5,6.5,0,Below Median Income,0,0,0
467,0.233,0.316,0.27,0.203,0.386,8.3,2.5,3.4,1,Above Median Income,0,0,0
1513,0.147,0.253,0.154,0.155,0.077,18.79,4.1,4.4,1,Above Median Income,1,1,0
996,0.161,0.26,0.228,0.203,0.187,5.04,2.6,3.1,1,Above Median Income,0,0,0
415,0.215,0.313,0.267,0.188,0.235,12.65,2.3,3.7,1,Above Median Income,0,0,0
579,0.164,0.421,0.338,0.234,0.355,9.83,4.5,3.8,0,Below Median Income,0,0,0
41,0.194,0.285,0.202,0.2,0.349,11.48,3,3.5,1,Above Median Income,0,0,0
1567,0.347,0.356,0.339,0.13,0.188,16.17,3.6,5.3,0,Below Median Income,0,0,0
1230,0.128,0.231,0.174,0.187,0.419,10.86,2.9,2.6,1,Above Median Income,0,0,0
525,0.27,0.394,0.359,0.051,0.25,49.59,6.8,6.4,0,Below Median Income,0,0,0
164,0.201,0.232,0.178,0.182,0.427,15.4,3.5,3.7,1,Above Median Income,0,0,0
820,0.264,0.326,0.339,0.148,0.389,14.98,3.9,6.7,0,Below Median Income,0,0,0
722,0.144,0.271,0.249,0.151,0.462,10.55,3.3,3,0,Below Median Income,1,0,1
954,0.214,0.306,0.236,0.222,0.273,7.59,3.3,3.6,0,Below Median Income,1,0,1
1534,0.157,0.313,0.228,0.138,0.494,8.89,3.6,4.2,0,Below Median Income,0,0,0
670,0.222,0.38,0.249,0.292,0.481,16.12,3.4,3.6,1,Above Median Income,0,0,0
8,0.177,0.285,0.297,0.098,0.325,6.12,3.6,3.5,0,Below Median Income,1,0,1
1084,0.155,0.341,0.273,0.178,0.359,7.15,3.2,2.9,1,Above Median Income,0,0,0
29,0.239,0.302,0.288,0.108,0.244,17.14,4,4.5,0,Below Median Income,0,0,0
1283,0.189,0.312,0.257,0.14,0.522,16.09,3.6,3.5,0,Below Median Income,1,0,1
520,0.233,0.309,0.295,0.079,0.216,11.29,3.6,4.2,1,Above Median Income,1,1,0
836,0.248,0.316,0.315,0.114,0.306,8.21,5.2,4.7,0,Below Median Income,0,0,0
51,0.163,0.35,0.242,0.138,0.385,16.48,4.3,4.3,0,Below Median Income,0,0,0
553,0.152,0.315,0.22,0.114,0.333,9.96,3.5,5.9,1,Above Median Income,1,1,0
539,0.254,0.322,0.296,0.128,0.375,13.94,3.7,3.8,0,Below Median Income,0,0,0
585,0.238,0.35,0.285,0.147,0.311,24.1,3.8,4.5,1,Above Median Income,1,1,0
721,0.24,0.326,0.241,0.134,0.342,16.19,3.9,3.9,0,Below Median Income,0,0,0
1004,0.227,0.27,0.187,0.251,0.247,10.17,3.4,3.9,1,Above Median Income,0,0,0
407,0.178,0.228,0.19,0.173,0.261,14.8,3.8,3.5,0,Below Median Income,1,0,1
1052,0.18,0.25,0.199,0.183,0.286,17.2,3.4,3.3,1,Above Median Income,0,0,0
845,0.269,0.283,0.314,0.171,0.143,19.7,4.3,4.6,1,Above Median Income,1,1,0
1432,0.054,0.238,0.144,0.044,0.142,15.7,3.1,3.5,1,Above Median Income,0,0,0
1309,0.227,0.378,0.331,0.106,0.506,14.96,4.6,3.9,0,Below Median Income,0,0,0
807,0.309,0.315,0.331,0.159,0.42,12.02,5.2,4.6,0,Below Median Income,0,0,0
1324,0.106,0.276,0.216,0.231,0.464,3.65,1.8,1.9,1,Above Median Income,0,0,0
847,0.17,0.282,0.235,0.201,0.373,12.81,3.1,2.9,1,Above Median Income,0,0,0
37,0.217,0.329,0.279,0.124,0.261,14.96,4.1,4.3,1,Above Median Income,1,1,0
1266,0.216,0.325,0.286,0.2,0.556,11.55,4,4.1,0,Below Median Income,0,0,0
3,0.213,0.309,0.298,0.055,0.18,18.3,3.9,5.9,0,Below Median Income,0,0,0
637,0.079,0.188,0.17,0.142,0.347,4.89,2.6,2.5,1,Above Median Income,0,0,0
1182,0.267,0.354,0.326,0.129,0.385,28.2,4.7,4.2,0,Below Median Income,0,0,0
646,0.239,0.336,0.29,0.171,0.296,29.95,3.9,3.7,0,Below Median Income,0,0,0
194,0.143,0.247,0.227,0.15,0.211,15.38,3.4,3.4,1,Above Median Income,0,0,0
358,0.177,0.29,0.226,0.236,0.46,9.93,3.2,3.2,1,Above Median Income,0,0,0
161,0.148,0.199,0.122,0.164,0.374,14.25,3.1,3,1,Above Median Income,0,0,0
499,0.25,0.386,0.324,0.149,0.312,11.97,4,4.1,0,Below Median Income,0,0,0
364,0.194,0.339,0.27,0.158,0.263,14.17,3,3.8,1,Above Median Income,0,0,0
343,0.212,0.277,0.221,0.207,0.353,10.81,3.3,3.8,1,Above Median Income,0,0,0
117,0.085,0.241,0.132,0.237,0.357,10.45,4,3.4,1,Above Median Income,0,0,0
846,0.29,0.325,0.309,0.169,0.485,28.51,4.3,5.5,0,Below Median Income,0,0,0
34,0.18,0.315,0.222,0.126,0.153,16.07,3.6,3.3,1,Above Median Income,0,0,0
475,0.209,0.364,0.253,0.154,0.5,13.53,3.2,3.5,0,Below Median Income,1,0,1
20,0.221,0.29,0.329,0.084,0.243,11.52,5.3,5.8,0,Below Median Income,0,0,0
1240,0.252,0.291,0.266,0.194,0.38,12.62,4.1,3.7,0,Below Median Income,1,0,1
739,0.167,0.272,0.22,0.193,0.833,9.88,2.7,2.8,1,Above Median Income,0,0,0
1006,0.281,0.29,0.246,0.123,0.298,6.57,3.1,3.7,1,Above Median Income,0,0,0
981,0.129,0.147,0.16,0.207,0.123,9.24,3.5,3.6,1,Above Median Income,0,0,0
569,0.22,0.335,0.328,0.127,0.2,10.74,2.9,3.4,0,Below Median Income,1,0,1
461,0.215,0.35,0.282,0.216,0.233,10.06,3.2,2.9,1,Above Median Income,0,0,0
1393,0.196,0.277,0.245,0.151,0.424,7.66,3.6,4.3,1,Above Median Income,1,1,0
388,0.134,0.34,0.277,0.183,0.22,8.84,4,3.7,1,Above Median Income,0,0,0
1450,0.101,0.175,0.139,0.187,0.167,4.92,2.2,2.4,1,Above Median Income,0,0,0
744,0.254,0.292,0.248,0.234,0.381,12.08,2.7,3.5,1,Above Median Income,0,0,0
1486,0.211,0.302,0.309,0.101,0.231,37.12,6.3,5.9,0,Below Median Income,0,0,0
217,0.183,0.34,0.322,0.109,0.347,6.67,3.6,4,0,Below Median Income,0,0,0
1229,0.122,0.239,0.181,0.135,0.294,6.66,3,3.1,1,Above Median Income,0,0,0
32,0.281,0.341,0.338,0.141,0.226,11.28,4.8,4,0,Below Median Income,0,0,0
262,0.17,0.375,0.258,0.097,0.162,8.04,3.7,3.3,0,Below Median Income,1,0,1
1117,0.254,0.312,0.306,0.182,0.273,14.97,4.2,4.3,1,Above Median Income,1,1,0
228,0.216,0.288,0.228,0.164,0.318,13.32,3.2,4.5,1,Above Median Income,1,1,0
1126,0.254,0.362,0.298,0.163,0.407,9.94,3.6,4.3,0,Below Median Income,0,0,0
208,0.175,0.356,0.339,0.114,0.25,14.63,3.3,3.5,0,Below Median Income,1,0,1
1194,0.146,0.262,0.149,0.166,0.331,11.05,2.9,3.1,1,Above Median Income,0,0,0
940,0.24,0.235,0.227,0.143,0.439,21.56,3.1,3.9,0,Below Median Income,1,0,1
166,0.187,0.208,0.204,0.166,0.107,9.59,3.9,3,0,Below Median Income,1,0,1
656,0.178,0.258,0.239,0.211,0.297,13.3,3.6,3.1,1,Above Median Income,0,0,0
168,0.154,0.298,0.204,0.148,0.357,10.71,2.7,3.5,1,Above Median Income,0,0,0
2,0.259,0.373,0.332,0.112,0.31,18.93,5.1,4.7,0,Below Median Income,0,0,0
1267,0.307,0.342,0.233,0.194,0.5,12.55,4.8,4.6,1,Above Median Income,1,1,0
873,0.15,0.283,0.235,0.164,0.182,5.29,2.3,2.6,1,Above Median Income,0,0,0
1161,0.273,0.369,0.314,0.11,0.286,19.79,4.3,4,1,Above Median Income,1,1,0
285,0.229,0.318,0.253,0.153,0.263,6.59,3.3,3.5,1,Above Median Income,0,0,0
842,0.27,0.315,0.35,0.126,0.467,12.15,5.9,4.9,1,Above Median Income,1,1,0
821,0.205,0.294,0.211,0.118,0.34,24.21,3.6,4.1,0,Below Median Income,0,0,0
1085,0.216,0.32,0.343,0.228,0.349,9.55,5.6,4.9,0,Below Median Income,0,0,0
6,0.244,0.303,0.298,0.149,0.262,16.61,5.2,6.1,0,Below Median Income,0,0,0
1238,0.204,0.257,0.21,0.21,0.308,22.32,3.8,3.4,1,Above Median Income,0,0,0
267,0.161,0.28,0.259,0.153,0.231,10.26,3.4,3.4,1,Above Median Income,0,0,0
1032,0.267,0.325,0.281,0.166,0.391,10.61,4.4,4.4,0,Below Median Income,0,0,0
1073,0.164,0.253,0.217,0.146,0.292,12.51,3.2,3.8,0,Below Median Income,1,0,1
1358,0.241,0.309,0.299,0.067,0.315,17.34,3.8,4.5,0,Below Median Income,0,0,0
1565,0.231,0.348,0.35,0.059,0.354,42.13,4.9,5.4,0,Below Median Income,0,0,0
312,0.158,0.251,0.219,0.12,0.5,15.89,3.7,4.1,0,Below Median Income,1,0,1
745,0.209,0.287,0.232,0.228,0.28,8.2,3.9,3.7,1,Above Median Income,0,0,0
1526,0.182,0.31,0.2,0.197,0.111,19.57,3.3,3.7,1,Above Median Income,0,0,0
414,0.214,0.308,0.263,0.187,0.293,13.93,3.4,2.9,1,Above Median Income,0,0,0
1600,0.242,0.301,0.236,0.255,0.375,12.06,3.5,3.6,1,Above Median Income,0,0,0
804,0.245,0.423,0.353,0.117,0.3,7.07,3.6,4,0,Below Median Income,0,0,0
1590,0.124,0.288,0.211,0.245,0.414,8.2,2.2,2.3,1,Above Median Income,0,0,0
244,0.291,0.365,0.32,0.138,0.419,9.65,4.8,5.6,0,Below Median Income,0,0,0
1168,0.226,0.342,0.29,0.182,0.523,12.29,4.4,4.4,1,Above Median Income,1,1,0
207,0.244,0.313,0.274,0.152,0.353,12.8,3.3,4.7,0,Below Median Income,0,0,0
963,0.136,0.256,0.222,0.232,0.194,8.16,4.1,3.5,1,Above Median Income,0,0,0
1279,0.126,0.213,0.191,0.209,0.5,10.33,3,2.9,1,Above Median Income,0,0,0
470,0.192,0.382,0.267,0.102,0.333,13.29,4.7,4.4,0,Below Median Income,0,0,0
1292,0.236,0.354,0.312,0.124,0.389,11.76,3.6,3.9,0,Below Median Income,0,0,0
1429,0.075,0.146,0.11,0.191,0.222,13.1,2.2,2.4,1,Above Median Income,0,0,0
1369,0.15,0.3,0.241,0.124,0.417,11.04,2.7,2.9,1,Above Median Income,0,0,0
1371,0.246,0.287,0.283,0.128,0.222,10.08,2.8,1.7,1,Above Median Income,0,0,0
1347,0.196,0.373,0.295,0.098,0.286,6.73,3.1,3.8,0,Below Median Income,0,0,0
259,0.188,0.279,0.237,0.161,0.267,9.13,2.8,3.6,1,Above Median Income,0,0,0
1274,0.177,0.278,0.26,0.162,0.367,18.61,3.7,3.3,1,Above Median Income,0,0,0
1580,0.226,0.348,0.244,0.306,0.288,13.41,2.5,2.5,1,Above Median Income,0,0,0
877,0.214,0.339,0.296,0.238,0.5,7.65,4.4,3,1,Above Median Income,0,0,0
139,0.145,0.283,0.197,0.192,0.385,7.09,4.5,4.9,0,Below Median Income,0,0,0
680,0.27,0.361,0.318,0.15,0.192,6.73,5.5,4.6,0,Below Median Income,0,0,0
127,0.091,0.204,0.136,0.175,0.369,13.34,3.5,3.1,1,Above Median Income,0,0,0
395,0.291,0.337,0.274,0.14,0.192,13.67,4.8,4.3,0,Below Median Income,0,0,0
987,0.287,0.306,0.268,0.132,0.2,3.32,3.4,5,0,Below Median Income,0,0,0
932,0.209,0.314,0.255,0.149,0.206,25.82,4.5,4.7,1,Above Median Income,1,1,0
934,0.212,0.333,0.339,0.142,0.385,15.98,2.9,4,1,Above Median Income,1,1,0
459,0.21,0.36,0.261,0.207,0.083,5.7,3.3,2.7,1,Above Median Income,0,0,0
315,0.195,0.291,0.22,0.095,0.714,22.17,4.5,5,0,Below Median Income,0,0,0
1503,0.153,0.32,0.184,0.134,0.383,10.94,3.1,3.7,1,Above Median Income,0,0,0
950,0.164,0.18,0.141,0.145,0.452,29.32,3.8,4.2,0,Below Median Income,1,0,1
268,0.108,0.264,0.196,0.154,0.22,6.31,3,2.5,1,Above Median Income,0,0,0
211,0.225,0.343,0.309,0.142,0.288,12.15,3.5,3.9,0,Below Median Income,0,0,0
270,0.148,0.333,0.254,0.083,0.284,9.6,3.5,3.2,1,Above Median Income,0,0,0
869,0.193,0.205,0.183,0.183,0.37,11.74,3.1,3.7,0,Below Median Income,1,0,1
1213,0.145,0.257,0.17,0.122,0.188,11.77,3.1,3.3,0,Below Median Income,1,0,1
507,0.235,0.279,0.224,0.116,0.311,13.52,3.1,3.3,0,Below Median Income,1,0,1
1426,0.109,0.248,0.164,0.12,0.18,20.78,3.3,3.3,1,Above Median Income,0,0,0
1359,0.254,0.304,0.337,0.075,0.343,12.78,3.1,4.5,0,Below Median Income,0,0,0
576,0.258,0.363,0.369,0.136,0.533,7.59,2.1,4.8,0,Below Median Income,0,0,0
1553,0.334,0.373,0.397,0.101,0.389,23.74,3.8,4.8,0,Below Median Income,0,0,0
1000,0.178,0.223,0.217,0.181,0.229,14.07,3.4,3.2,1,Above Median Income,0,0,0
396,0.331,0.319,0.267,0.113,0.242,22.14,5.1,5.7,0,Below Median Income,0,0,0
295,0.117,0.327,0.289,0.125,0.222,11.92,2.6,3,1,Above Median Income,0,0,0
1581,0.228,0.279,0.214,0.223,0.214,9.38,2.6,3.1,0,Below Median Income,1,0,1
1039,0.174,0.218,0.231,0.107,0.169,14.69,3.5,3.7,0,Below Median Income,1,0,1
912,0.192,0.286,0.256,0.189,0.267,19.71,3.6,3.5,1,Above Median Income,0,0,0
93,0.263,0.363,0.358,0.119,0.308,13.64,4.2,4.9,0,Below Median Income,0,0,0
588,0.199,0.309,0.274,0.202,0.283,14.62,4.4,3.6,0,Below Median Income,1,0,1
717,0.207,0.312,0.276,0.194,0.304,9.67,3.7,3.6,0,Below Median Income,1,0,1
1034,0.228,0.333,0.259,0.109,0.406,9.5,3.9,3.9,1,Above Median Income,1,1,0
774,0.211,0.36,0.358,0.07,0.141,9.1,4.3,4,0,Below Median Income,0,0,0
1374,0.153,0.292,0.239,0.15,0.387,9.57,3.3,3.6,1,Above Median Income,0,0,0
590,0.234,0.343,0.317,0.175,0.611,17.39,3.2,3,1,Above Median Income,0,0,0
992,0.186,0.248,0.224,0.217,0.2,7.1,3.6,3.6,1,Above Median Income,0,0,0
1353,0.284,0.302,0.318,0.109,0.27,17.86,2.9,4.5,0,Below Median Income,0,0,0
925,0.186,0.266,0.244,0.163,0.193,7.89,3.6,3.6,1,Above Median Income,0,0,0
1447,0.157,0.227,0.187,0.199,0.211,14.35,3.3,3.1,1,Above Median Income,0,0,0
371,0.236,0.321,0.317,0.162,0.154,13.69,3.8,4,1,Above Median Income,1,1,0
275,0.133,0.218,0.184,0.179,0.24,10.78,2.7,2.4,1,Above Median Income,0,0,0
772,0.277,0.332,0.367,0.069,0.088,19.6,5.2,4.9,0,Below Median Income,0,0,0
674,0.275,0.314,0.211,0.291,0.636,7.01,2.9,3.8,0,Below Median Income,1,0,1
1420,0.063,0.249,0.152,0.074,0.183,15.25,3,3.1,1,Above Median Income,0,0,0
